,Title,Location,Link,Company,Date Extracted,Cluster,Tag
17,Data Engineer - Contract Role,"Bengaluru, Karnataka, India (Remote)",https://www.linkedin.com/jobs/view/4044570579/?eBP=BUDGET_EXHAUSTED_JOB&refId=Je%2BdTT6ToVPU5dfs3jj5Fw%3D%3D&trackingId=QtSOHrrQp6kpXGrk0fPNoQ%3D%3D&trk=flagship3_jobs_discovery_jymbii,Reveal HealthTech,07-10-2024,3,Development and Research
18,AI/ML Engineer,India (Remote),https://www.linkedin.com/jobs/view/4044506212/?eBP=BUDGET_EXHAUSTED_JOB&refId=Je%2BdTT6ToVPU5dfs3jj5Fw%3D%3D&trackingId=uRDCiDtn5OBRALDU8FlG%2Fg%3D%3D&trk=flagship3_jobs_discovery_jymbii,East 57th Street Partners,07-10-2024,3,Development and Research
19,Data Tagging,India (Remote),https://www.linkedin.com/jobs/view/4041055535/?eBP=BUDGET_EXHAUSTED_JOB&refId=Je%2BdTT6ToVPU5dfs3jj5Fw%3D%3D&trackingId=Q1Kq1VWHD%2FA9nQHwPwz3pA%3D%3D&trk=flagship3_jobs_discovery_jymbii,HireBloc Ventures Pvt Ltd,07-10-2024,7,Data Science
21,Data Analyst (E-commerce),India (Remote),https://www.linkedin.com/jobs/view/4042526211/?eBP=CwEAAAGSZ9b-JR5iD7n_2snTp_Uau5jVqEfeBpsPY9hgugWrzHSMzBLjeHuRDOEG46iDRy7OOe2FZ7h6FdlpDjPuSradBLdsxzRgT_xy6I6Ap4xHkcAuVE_6vzPyPynXMO3STW_tXFr2PhLT7ylYgZ0smdLQyx0xwhlwodtfkZPXaHx6IZ0h4DN6a_QOz_LrT2uEUHZV5fTMcb8ZuUVfMywidNiKcedEBkEMB3Kc7PNDszpeClqfZjb7RmrK8YOmbYNHiP83z5xTVAuv3kyxcRN7ZGON6c1cvcaNhbRS88mJaKpEMgVBT5GMHrjvZaNKUONXGovKJdW8hq98QgTuMauEif3tWefr3xOSdLsXWJoyUI4uMt3eXCZgO_cYJ4W3szPILmPmRys7VfcHFNRETrdAzINgUj9VFTWz3Omx6XvNS3ZzHHIusIbbw5nvCkg&refId=Je%2BdTT6ToVPU5dfs3jj5Fw%3D%3D&trackingId=ATSr2Xy%2Bui96fpAesIGByA%3D%3D&trk=flagship3_jobs_discovery_jymbii,TechHost Services,07-10-2024,2,Analytics
22,Data Intelligence Intern (January 2025),India (Remote),https://www.linkedin.com/jobs/view/4033113729/?eBP=CwEAAAGSZ9b-Jd1eoFm8_5hWUUMfGT-ob9oZgG3iF7hFXM7ztO0Wye_JqUXbfR4vxfeISsZWV04_gh5y9a15qGR26bGm119kJmYnHmAgclpWhgtIUBODXD0YgUjBQ1ghabIzOOrBJp9gQdgu5YiataLhp9vWFAtVyn0LcRQk8VR2WlcqzYlgypUItjQyo7kbXEuYV31leHJ4BV_hUJMyDAMkhXn6TBZyQ_V5K8H4HBOUE56_CYW_KURkIwHA0fP0EsUwQsvklX4KnkTT4kNsrGb46ustx6RSEiYstspEyP2k550OQj83Xwqqx1qZ_HDftGJOF2oeAgRBWj0lJhO5a7d-eyfFsxuUeJMRpJfPBGo5bPyAxFaz8q3sgobtKLYZYLY7b8wwTHzLw4_ag76qRXc-aOxU3R9yy8GMaEo2uihXQ241ZeY-TZfusjwVaHV_ryDNrryCyOZTcvvvPToz112uDaE&refId=Je%2BdTT6ToVPU5dfs3jj5Fw%3D%3D&trackingId=oDp6G08YPSAtbjYr2z1txg%3D%3D&trk=flagship3_jobs_discovery_jymbii,Crowe Horwath IT Services LLP ,07-10-2024,0,Others
23,SQL or Python Developer,"Noida, Uttar Pradesh, India (Hybrid)",https://www.linkedin.com/jobs/view/4042515636/?eBP=CwEAAAGSZ9b-JSrvcp8uS2vyiue5LapuVc8IMH3OnemMePg-yBV3VlaISQs-X46h67gJ-jDeAlnfRrzDv83atEsmnB-2auSNaQ1_Ng-cZRHIexprWLLOJ0jGpCh15VH0KsPBGZC27tyj2mpsXi_ytckqf2p_ZTmhAaXW_zZysbbLtzJkKekAuvr5uxPjB-qfUxKMg-SBNuBEWyQSifCjuBcupThTanMjaZo9lUqT1QMGmrDDG_TrBMWyWiZj9lx3zTeW91MjOTWURnph1xTlGn5YrqkQ_0RaUduhoXNfpp8Rh4_vkJ6LSrBSHY2PzBBrwr9jR9hVODh1DftJcMeMAeSoAgeZn5JfDoEEsoqMXiKuHIeJqOZqbbIeizK2tqwPynNWbPuHI1_ikhl2eoHxi9V7xTO-9NmmjTo7-TzuZxvBYYQTVyd8qTzIjQxhexkeo2Mcblx0GGy3VVS3p6YpSA&refId=Je%2BdTT6ToVPU5dfs3jj5Fw%3D%3D&trackingId=TQjmXiYbLRBH2LMB2dFf4A%3D%3D&trk=flagship3_jobs_discovery_jymbii,AKS ProTalent,07-10-2024,5,Python and SQL Development
24,Quantitative Researcher (SPSS) (Pooling),India (Remote),https://www.linkedin.com/jobs/view/4043010933/?eBP=CwEAAAGSZ9b-JbklVzQhiI8znmpfl130ht7YmPUNHzL9HHv8VhILrMEyTIRg7Ui-0Yx7p8rZuGmucGMHgnOEz9YJhRA3_U3Xazcs2pQC8YUa8fuO5vSWvwgXYnR98wzRRhUqhCxxwcs2RrOA7EPodUuedyoXqV-85LsGBmLJeRybJ2y9u8ETctl2NF6tL8-JEfAGCE9CGWLe_APZoDmtRsbiMOqFa32x7TdWk9XUuJE5MI8fhw-3p5ub0uFKhtYyPt4rzjmm_9GLwQ0Zw6SKm_morG5XZgVmGDLfdFSrWenZhELrlXIXMntd4RKhSwmfbj0vzkMKYjd4VtL6F-eYourH1qPYPSduvntTqxwXTxmgNEpOxJ6lkUjblXRwCMeThyDQG4rj_RR7L09kKLcNCCgmK3hRlXF9KeGzC3Un_2iE9X-2Q45hOwL1glIPSqIcxJTB7jSbVMcZyDNXDrMm008v&refId=Je%2BdTT6ToVPU5dfs3jj5Fw%3D%3D&trackingId=xsk4UTRCbzap%2BDxCwsBwcQ%3D%3D&trk=flagship3_jobs_discovery_jymbii,Escalent,07-10-2024,3,Development and Research
25,Data Engineer,Greater Kolkata Area (Remote),https://www.linkedin.com/jobs/view/4041939072/?eBP=CwEAAAGSZ9b-Ja1GFytMiz3WS0FrDiUiUR49rrnoMjnvMa2Nkyw5fIZpGPN8XWu5FIKE7OvuCNNm-8bNR_KQ7LuttykpbwBkF9RcCyvb7NC5Jxb0-0ehRWb0Xl25AxePT1BRDn7-N-gdPqoLy7bpLYNRShX4_t75irSQRXL2X0tlDfCP9i10s-JAtXrE5RW6f_qYsP2tDuLcdLd5ZXA7pZm-jqIfHenic4yY6nkHN94Mb7Kujx-r6thva-zq73bbg9K3-gYai22ElStafuGX3zAIBx9kUN8TT9974g-ZgIOWoAZHU5Ji5e50wTc1AO3VIGFDgousKYdmfJIaxGsNGJHhc_ptNJUL9CS6VTsoU5kEnss5hiGLP9Ray0ay3zS4mGHpp962952SN2qeUiZxExBUSxjTFJXwzSCgjHAPQaQh-p61uwLtizpbHgIFgvXRLp8yv_GlseUPuJVUWvV6uku9&refId=Je%2BdTT6ToVPU5dfs3jj5Fw%3D%3D&trackingId=DW9oZd0lFN4li1QSkRLdpA%3D%3D&trk=flagship3_jobs_discovery_jymbii,PeerIslands,07-10-2024,7,Data Science
26,SME-GMAT ( Data Insight),India (Remote),https://www.linkedin.com/jobs/view/4009130642/?eBP=CwEAAAGSZ9b-JoSnVH_io91lfQF5WZ9xVf5V3XErb2Vekpsj_beIGBKy8PtsmzvopeaMAMVuka432mbUG6NHfXQapf4to7Z6vT4UD_WP6cqRtCx2qjuABz5x1jLJDoiJ-hWRTXj41zQk5fh9ROjx2s9FL-KDotayVx3qih6H-g9eh-d9HzvcJnXJDMK-WsA7HKgF6yAkC0nqknfBWDOAZt_hE4JIr8yHBbmtbW4782hytCQ4Je7FxjNVho5b-wzOkj1ggu3ETvSDs6KrTbIs9TrK3PH3MfK78tg-0INjdHxCTHg5ETGzJV09j2PiqO5Owc-DkDqFkaD8oTavXq5t8r8azz4MC4iAvRyuxuXItYJ3yO_nycYgiW6UVBHFLpT_dUmKXk9E8posedF46rNCcSpR7p991oXyjbH4-wMl&refId=Je%2BdTT6ToVPU5dfs3jj5Fw%3D%3D&trackingId=39aHbFUEGechfNi%2FuG1vUw%3D%3D&trk=flagship3_jobs_discovery_jymbii,PW (PhysicsWallah),07-10-2024,3,Development and Research
27,Python Developer,India (Remote),https://www.linkedin.com/jobs/view/4039681846/?eBP=CwEAAAGSZ9b-JgPZYu3huv_l9CCcqbw_lY6yru3uYPoQiotFYHFba11b2RPFktgaCXQ81LeI87qhZl4_excG67spEEka9gaPrtPONKvaX0zPJErKYAp_Po2lE-XJMk25OFZhgf-UCo9A5mdYgSnemJYl5wrSvahSjKRz26nPQUanmpARvixxs9ngPDrsjnee3NDK9FoV4vHlEI7FGCulT7Tw15PHyT8-1QwKbTmRujgJp4WhKrdhYyQScQvtyAXz7QWnYGxGBI2JXQuefnGIcnpWlGuEVaJxsfjr428gzj4im05AJUTkrGYueePvzXCqym4i8hy_EpYbrLr_m-8ujMWyXc1p7WPcWmre8kuuWreb28qZs7QVp1_aeQjNN8gPmT37IQXWGo0d10wZnvgPflL4y6qwgSQVvxKhfrpBS74jHiktX6Q1-Hbuu78MMwCnurTVLGL1lXNtBeAyLC3HKg&refId=Je%2BdTT6ToVPU5dfs3jj5Fw%3D%3D&trackingId=OyxE3BBnGkPENJhtLBz%2BpA%3D%3D&trk=flagship3_jobs_discovery_jymbii,Soul AI,07-10-2024,5,Python and SQL Development
28,Data Labelling,India (Remote),https://www.linkedin.com/jobs/view/4032980797/?eBP=CwEAAAGSZ9b-JiIvqOVPeytim6YcWbQkEqsEs-S91YwIuM9L9du3APGNhsUhxdBV21EawPmQ6IIyshGq22Qe3XoJj8JRLHijbGLQO1iMU8STRMYc2v_PVr5GfhKLhZxmpacoDS5N8S6RaClJtJhbyam_a8Ag23wdM4YMuG1vxKeZ4ecaYrudlhA3-nD8TR52BSSW6_f0CwJ4bsnGoS_g2k9kIj0Af-br8oMrmQts3-Mh66Gu-oDx5DnWZ1tTQGjSGJLIFvfCkfpvmDIP0FwZvrF5FINCbjDMjbaXHXTgHkMdA4S8dVvTBid3kUbZhoStbeCuHEZlITKUeRcs3ZdTYrxZV9jDFElqQyw2Ie_LMEA_sUDSiLxy7ajTpLa9aBifz86KAUlS6uhgDueTn0rdnTWIW_rG8Q42u5Ez16hcQ3bv4PVx8TjfGzqHro7dFiQ&refId=Je%2BdTT6ToVPU5dfs3jj5Fw%3D%3D&trackingId=eRA0%2BmNMETyRbeRM87S6Pw%3D%3D&trk=flagship3_jobs_discovery_jymbii,HireBloc Ventures Pvt Ltd,07-10-2024,7,Data Science
29,Frontend Developer Intern,India (Remote),https://www.linkedin.com/jobs/view/4044591657/?eBP=CwEAAAGSZ9b-Jo4TjXhyJgdEhk1n8ULjaKXSgxUdaVFSzjndWt_8t36d70rcmE4O8UJpB4l-m_IXx9ozyazaOzOQM8OOce2u5DcI05MCx3rfLek86R0CD5ELCfHz2rQpzsl_C73a8CC8gaBVQDi-H8GAxfrEboJjujN_PvkoC0b6zVqEziox_H6Rb5dEvTgXkZAssZdsltgQatH2ZPZaNbaclnBSfUsXo7ok-l_tp0ZUIpUEtzLxRk9sxLEYu75KXIvpzLqb7PvofM3rmwyxE4hgROVNl6oChGNSlHPd0krYmF-2u9G6y5jNeeVpf3qXBJrs5E4aAaIn68ve6pjpx0ymWKhsyJQeqisdOlGqHWCdRvJNWXMVChRH9Dbc77tZf--XCnLQJUiVVbKlLD14lSnc0j3dtZCLmxcMdtl0paPDNMwiSIISv-6ROrseD_N-PhdfzPLgxUb_qesVdbzDJ8As&refId=Je%2BdTT6ToVPU5dfs3jj5Fw%3D%3D&trackingId=CtDQGlvKOSCDSwaWIgNMkw%3D%3D&trk=flagship3_jobs_discovery_jymbii,Internkaksha IT Solutions,07-10-2024,0,Others
31,Data Tagging,India (Remote),https://www.linkedin.com/jobs/view/4035036942/?eBP=CwEAAAGSZ9cER5db0NdlG-VDhlA8dVzotOt8I5FfDndhLubVfFkY9P6gmRSuuW481dR8jj8tl0r5hJ7NUwM_dBF7yykc53pcZPp9-MjcThW_B7q1jIUOX8cZhQpKLGrBd67PxH5_MCVZHFIFc0chKFx8KwFqJAxRJlGtQ1mCzuP347opQBq7pRC6UPCw1wkqG0__JKBz_23wG-2WRIiE9Y6b1P8QodDchHJrFRFMowpc89TO1pU51IuaDgXNx6wjjZBoJEmU9m33tkcaSF-tocmYkrSgTB54dutcFUIzJlItmgu8l5dWhvfpqx--EobOMXsmhcn_CeMHU_yLLm63BM9nNWX_UDOfKl0aouMs0zY9oY0G3a070D0DiVas1QQgEgRpYSHN55LDwodDwBV0FSx0Q8LzF0wuFydhfPx0JkHE3bfqe9HSaGfBjhDvGaY&refId=El1TsQ%2BTcG2LT18Ew5GWQQ%3D%3D&trackingId=jeCkNHfdfBJ999%2Bww%2BNuKQ%3D%3D&trk=flagship3_jobs_discovery_jymbii,HireBloc Ventures Pvt Ltd,07-10-2024,7,Data Science
33,Data Annotation,India (Remote),https://www.linkedin.com/jobs/view/4041997120/?eBP=CwEAAAGSZ9cER7iNjXMQrnGsHNpfkqfw9a0sLmMbEfQmBnkyBtKxJV1qSuhgQ3Comoxvy8qSdD53xR3sLUbV7WMeoZFZQZXpieURTvJmwkLakIwOKi7478PvIGKfszmIUdFkWA9OuNhOWcqHbsnsD_Z4kN5bqaDGyboJ1bnlhR-IjA93mZi3V7kygfobSU5Gkz_Ymyi5qp66ErFwIBly2VebLFc-htQ9HDU01_mOLOKFTya5ioNsLz9tOsv3rk3OWnJc3ydsF2_i7AmO5BBC7pnWZyP7CPIl2UWps0s7RzOcSsl1JUNxyn1ntO32VZvuGYQZ7mJswSpWTZUJIBDhmWs4p6dXnV0Tj6TPWtBvbltlbhVBtZ_5jGXC4SCTy2pL4Ypl_f7fGAC3Uq48KsPtJ9n4BAkTbFGHG6se6GJ-&refId=El1TsQ%2BTcG2LT18Ew5GWQQ%3D%3D&trackingId=0N2VRM4MEulB2Yd7KO0bqQ%3D%3D&trk=flagship3_jobs_discovery_jymbii,Ubique Systems,07-10-2024,7,Data Science
35,Data Analyst,"Noida, Uttar Pradesh, India (On-site)",https://www.linkedin.com/jobs/view/4044194103/?eBP=BUDGET_EXHAUSTED_JOB&refId=El1TsQ%2BTcG2LT18Ew5GWQQ%3D%3D&trackingId=ChOVeKJ6dN%2FCDEDML829Aw%3D%3D&trk=flagship3_jobs_discovery_jymbii,Norstella,07-10-2024,2,Analytics
36,Machine Learning Engineer,"Delhi, Delhi, India (Remote)",https://www.linkedin.com/jobs/view/4036912471/?eBP=BUDGET_EXHAUSTED_JOB&refId=El1TsQ%2BTcG2LT18Ew5GWQQ%3D%3D&trackingId=kXxrntYlUtbiEQRKH%2F2pHA%3D%3D&trk=flagship3_jobs_discovery_jymbii,Swarmauri,07-10-2024,8,AI/ML
37,Data Engineering,India (Remote),https://www.linkedin.com/jobs/view/4040490365/?eBP=CwEAAAGSZ9cER-09jUtrYXfQRfWGWoa_ZW87el8GH4S_Vm1zTy4I7vyWDyslXUwU2JFpvEnwQ83YYJXm9ISkImID-EbJvlUGQkJk1D5EfpTKC6drVD6Yw8ftQP0ZNvXgPuQeXF1tzciriNAUeujUFEEJ7vgenMHOyPOG29jZ13syB2UX8kt0QManhtct3K9WGkM0ie_Obvd1KIGCvOLr1Sozy85d-docGw_FVnTcQoeeIv0RFHiyHj4t8sPNJb-CdVWaH4gn-kmda1WQD0A1zavCrjDSX8DXE2TIFkcPUVfqli2KgYV0sIehtFRKF0U_BJqCYg9e02rgLPSsGV9b2BGrZC-ioaEKAFeuK4tLrybdJgEOKB60D0MlMMDq9t2tBAq42peNCTP11QqVgfPKj9rnBbciuytUSK5xLdTbWMqAEwPFdPOJ4Vyh75EwD0gQn0WahtLdBc72b5mZ5k2CG9Sk0Qw&refId=El1TsQ%2BTcG2LT18Ew5GWQQ%3D%3D&trackingId=nCefupFDDJCSGPoWqZ3S%2FA%3D%3D&trk=flagship3_jobs_discovery_jymbii,Microsoft,07-10-2024,7,Data Science
